Company Name,Job Title,Job Description,Rating,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,state,age
Scientific Research Corporation,Data Analyst / Scientist,scientif research corpor advanc inform technolog engin compani provid innov product servic govern privat industri well independ institut core capabl season team highli skill engin scientist multidisciplinari background team challeng daili provid cut edg technolog solut client primari duti respons src current seek multipl data scientist variou level support custom naval air system command locat naval air station patux river md data scientist support analysi data simul data statist comparison two data set adept manipul data tactic oper context gain insight instal sensor system perform must strong experi use varieti data analysi method data mung toolsmust proven abil support technic decis data comfort work wide rang stakehold function team across govern contractor organizationswork data analysi team member across enterpris accomplish verif valid joint simul environmentwrit tool assist mine data flight test simul runswrit tool assist compar analysi flight test simul runsassess effect accuraci new data sourc data gather techniquesimpl perform analysi visual flight test simul data setssomr travel requiredscientif research corpor offer competit salari extens benefit packag work environ encourag excel applic select subject govern secur investig must meet elig requir access classifi inform scientif research corpor equal opportun affirm action employ discrimin employ qualifi applic receiv consider employ without regard race color religion sex age sexual orient gender ident nation origin disabl protect veteran statu,4.2,"Atlanta, GA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,52.0,93.0,72.5, MD,32
General Dynamics Information Technology,Scientist,type requisit regularclear level must current possess noneclear level must abl obtain nonesuit suitabl requiredpubl trust requir naci job famili scientistsjob descript gdit seek senior research technician support walter reed armi institut research wrair entomolog branch support walter reed biosystemat unit wrbu specif emphasi develop morpholog key molecular identif assay permit accur identif auster environ goal facilit front face platform support near real time accur field identif vector pathogen support accur time product vector born diseas risk assess specif duti includ develop valid implement molecular assay rapid accur detect identif multipl vector pathogen target use multipl forward face platform metabarcod minion magpix develop standard oper procedur formal test procedur use assay multipl test entiti may produc compar data suitabl use surveil program support rdt activ develop accur vector identif tool use warfight object includ high qualiti peer review scientif public develop uniqu dna barcod refer librari whole genom sequenc diseas vector access dna barcod bold barcod life databas upload report gene genom sequenc gener barcod refer sequenc upload bold databas shall provid part monthli progress reportproduct multiplex identif assay pathogen vector magpix pcr assay metabarcod minion develop new taxonom lucid key updat key stand alon app taxonom research vector biomed import requir year experi year experi prefer molecular biolog biolog biochemistri relat field strong public research grant award historymasteri high throughput dna rna extract techniqu pcr sanger sequenc next gener sequenc expertis primer probe develop multiplex target molecular assay essenti proven experi design novel multiplex pathogen detect assay use pcr magpix minion essentialwork knowledg rt pcr qpcr lamp immunolog assay elisa western blot etc desir strong scientif commun skill requir applic shall expect prepar sop scientif manuscript deliv oral present abil work laboratori field environ may requir work even weekend may requir travel abil work independ follow brief period specif technic train gditprior militaryhealthschedul weekli hour travel requir less telecommut option telecommut allowedwork locat usa md suitlandaddit work locat gdit peopl support complex govern defens intellig project across countri deliv bring expertis need understand advanc critic mission transform shift way client invest integr innov technolog solut ensur today safe tomorrow smarter ground besid client lab everywher offer technolog transform strategi mission servic need get job done gdit equal opportun affirm action employ qualifi applic receiv consider employ without regard race color religion sex sexual orient gender ident nation origin disabl veteran statu protect class,3.4,"Fairfax, VA",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",55.0,116.0,85.5, MD,24
MITRE,Data Scientist,choos meaning work andhav fulfil life mitr mitrepeopl commit tackl nation toughest challeng recommit long term well employe mitr differ frommost technolog compani profit corpor charter towork public interest commerci conflict influenc wedo research develop center oper govern createlast impact field divers cybersecur healthcar aviat defens enterpris transform make differ everyday work safer healthier secur nation world thehlsc softwar system depart seek talent data scientistsexperienc data analyt data visual data everywher thedepart homeland secur dh need dedic technic expertis andsubject matter support data storag secur comput analysi andvisu key function acquirefundament understand analyt equip tool includ opensourc intellig osint platformsoperateanalyt equip toolsperformprocess analysi collect informationsupportth develop applic technic process approach sponsorproblempresentresult intuit manner understood sponsor audienc regardless technic expertis conduct insight action analysesexperiencewith databas technolog postgresql oracl mysql sql server mongodb neo experiencemanipul dataset least one modern program languag businessintellig platform like python sa matlab java sql pl sqlcreativelyappli visual larg dataset use tool like tableau power bi orqlikabilityto understand map data relationshipsworkwith sponsor vendor partner contractor gain understand ofsponsor busi challeng evalu possibl technic solutionsbea contribut member project team abl flexibl scope andschedul changesminimum qualif bs year experiencerequir qualif bs comput scienc otherrel disciplin year experi dataanalyt data visualizationth candid possess extens experi analyzinglarg scale dataset promin emerg domain well complexsoci network use uniqu innov methodolog candid strong knowledgeof data scienc variou program languag open sourcetechnolog skill sought includ experienc util exist open sourc social mediamethodolog appli special tool capabl support thedepart homeland secur dh nation secur missionexperiencedorgan analyt result analysis tofind pattern data clearli articul entir analysi methodolog result assumpt constraint use variou suit toolsexperiencedwith databas technolog postgresql oracl mysql sql server mongodb neo experiencedmanipul dataset least one modern program languag businessintellig platform like python sa matlab java sql pl sqlcreativelyappli visual larg dataset use tool like tableau power bi qlikabl tounderstand map data relationships toassess qualiti data tool set requirements toprepar comprehens written report present chart base onresearch collect analysi intellig dataexcellentwritten verbal commun skill adapt varieti audienc andtechn understandingadvanc andproven abil assess thegap current capabl target busi needsanalyz andalign busi technolog strategiesidentifi analyz recommend high impact altern solut prototypesrequir busi soft skill experiencein custom face environment toleverag mitr team knowledg effectively towork war room environ close quarter within open team roomwith multipl convers abil towork varieti audienc includ sponsor vendor partnercontractorsstrongcommun interperson skillsmust havegood analyt written present skillsstronginterperson commun skill interact senior govern staff technic peer mitr team members towork dynam fast pace environmentpref qualif candid current possess dh suitabl clearancemitr workplac reflect valu offercompetit benefit except profession develop opportun acultur innov embrac divers inclus flexibl collabor career growth sound like choic want tomak choos mitr make differ us informationpleas visit http www mitr org career work mitr citizenship requir posit,3.2,"Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",72.0,123.0,97.5, VA,62
The Buffalo Group,Data Scientist,data scientistu citizenship current ts sci clearanc requir posit job descript candid provid support depart armi intellig inform servic daii open sourc intellig osint team assist requir answer endur stand requir ad hoc request inform publicli avail inform answer worldwid intellig requir intent program provid intellig consum access publicli avail inform network oper analyst spend less time conduct search build queri internet time conduct sourc intellig analysi candid provid data manag function form data govern data architectur data wareh data qualiti manag metadata manag data secur manag data develop manag data oper manag data refin integr data servic data transform servic data discoveri servic data tradecraft servic advanc data analyt technolog pursuit candid continu identifi new sourc publicli avail inform use multipl sourc includ websit databas email distribut listsrequir skill abil collect process analyz report larg amount quantit qualit data identifi trend anomali minim supervision evalu perform manag formul recommend senior leadership minim supervision explain mathemat formula statist find non technic user decis makersextract busi insight analysi data commun oral written visual insight busi leadersprofici microsoft excel pivot tabl pivot chart multipl criteria lookup nest logic formula etc microsoft powerpointprogram experi python data analysi panda numpi matplotlib etc particularli process analysi differ sourc quantit qualit datahon present product demo skillswork cross functionallymatch analyt solut busi needsinput manipul data use dashboard tableau sharepoint etc visual systembas program script experi json mandatori consid plusbachelor degre requiredth buffalo group equal opportun employ,3.9,"Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",74.0,124.0,99.0, VA,10
DentaQuest,Data Analyst,data analyst primarili respons oper execut data extract exchang dentaquest client vendor includ load process data file variou oper data mainten function system deliveri file third parti primari job respons perform routin ad hoc encount claim resubmiss use sql tool resubmit encount client ny fl marketso work ba develop streamlin autom process run edit maintain data extract applic ad hoc queri request intern extern custom use sql ssi informatica toolset powercent mft analyz discrep invoic detail file provid file etc run tw manual job ensur data deliveri complianceo run test deploy retir tw job neededo ensur schedul ad hoc extract deliv per scheduleo ensur schedul edi flat file receiv per scheduleo onboard inbound outbound client data autom file transfer solutiono track inbound outbound file error discrep identifi report trend analyz data extract request help defin technic specif effici develop request includ custom flat file signific focu healthcar encount hipaa transact support ba review updat data map spec doc etc write updat run doc document relat deploy extractso collabor definit develop mainten standard process facilit perform deep dive data analysi reconcili extern clientso use sql tool develop autom enrol reconcili reportingo support enrol error managemento develop thorough understand client within assign regiono identifi coordin data chang impact client extract across multipl busi unit departmentso maintain document associ contractu requir track oper result ensur qualiti metric achiev exceed demonstr expertis varieti concept practic procedur maintain gener knowledg compani wide process system windward success manag high volum project task often compet prioriti ensur regulatori legal complianc hipaa within depart drive continu improv cdm solut process support dentaquest goal object work close manag team deliv valu busi serv mentor resourc team member duti assign job requir bs degre busi comput scienc engin inform system relat field equival experi profici follow technic concept year experi busi role oper deliver respons knowledg gener comput softwar expert level profici use advanc featur ms offic relat databas concept knowledg sql server prefer exposur etl report concept sql ssi prefer experi sql queri good interperson skill excel verbal written commun skill abil priorit organ multipl task high attent detail desir knowledg dental medic insur claim process includ hand experi hipaa edi transact format includ familiar appropri handl phi dataphys demand incumb must abl commun effect requir overal light physic effort lb manual dexter sit requir carri posit posit respons use person comput abil travel move within outsid servic facil requir incumb work primarili either privat share offic environ,3.1,"Boston, MA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association",40.0,73.0,56.5, WI,19
Redjack,Lead Data Scientist,posit titl lead data scientistdepart govern servic disastatu full time regular exemptloc silver spring mdposit summari lead data scientist lead data scienc team integr data scienc best practic exist secur oper manag data scienc oper around organ examin improv oper data feed discov analyz track advanc adversari cyber campaign assess threat implic overal risk campaign may pose particular sector custom network fuse intern deriv extern avail cyber threat intellig techniqu analyt methodolog intend detect track advanc threat develop engin design architectur use case code document identifi opportun appli data scienc problem concern custom determin appropri workflow variou data scienc task key duti respons work custom understand cyber need help formal requir attain level autom need work custom ensur consist tenabl cyber strategi accomplish mission goal work analyt develop data scientist autom threat detect analysi track threat actor ttp support manag secur servic incid respons effort provid threat research expertis request ensur network defend suffici contextu threat knowledg take correct action perform data mine data clean data explor featur engin predict model data visual analyz conduct research use network secur data collect client present find client way appropri via custom site visit tech exchang confer trade public academ journal find present may includ insight data anomali trend etc program process procedur manag cyber secur focus data scientist foster continu technic develop respons time accur complet task defin manag requir skill qualif year experi least one follow engin disciplin comput engin commun engin network engin system engin data sciencebachelor degre inform secur comput scienc relat technic curriculum accredit institut associ degre year relev experi year relev experi abl answer appli data scienc cyber secur question ask interview process candid come prepar perspect articul defend custom uniqu constraint may may adjust base strateg vision custom organ data gather strategi advanc understand secur concept controlsknowledg tool method use target intrus larg scale attack experi capabl acquir knowledg data transport data convers ingest solut knowledg network protocol includ dn bgp rdp snmp etc experi capabl acquir knowledg cyber secur tool siem nessu splunk retina sourcefir hbss noesi wireshark full packet captur solut abil analyz raw data creat action intellig indic compromis detect mitig plan strong commun skill abil present complex technic topic rang audienc clear easi understand languag verbal written strong teamwork interperson skill includ abil work global distribut team experi self document practic util product ms visio ms project jira wiki articl creat standard oper procedur sop use ms word plu experi static java scala etc well dynam python rubi etc program languag plu must possess activ secret higher secur clearanc top secret prefer eeo statementredjack commit provid equal employ opportun person regardless race color ancestri citizenship nation origin religion veteran statu disabl genet characterist inform age gender sexual orient gender ident marit statu famili statu pregnanc legal protect statu collect protect status toler unlaw discrimin employ decis includ recruit hire compens promot benefit disciplin termin job assign train disclaimerth job definit inform design indic gener natur level work perform employe within classif design contain interpret comprehens inventori duti respons qualif requir employe assign job job duti respons subject chang base chang busi need condit,4.1,"Silver Spring, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,102.0,164.0,133.0, MD,13
7Park Data,Data Scientist,data scientist join team extrem passion data scientist product manag engineerswho share common interest tackl difficult data scienc machin learn problem today data product machin learn system design park arm influenti decis maker financi corpor giant critic inform need make smart data driven decis along way help advanc current work artifici intellig predict model technolog data power insight financi servic corpor compens packag includ competit salari incent structur gener benefit valuabl busi experi challeng excit contribut success fast grow technolog startup compani data scienc team two major goal design build data product provid intellig real time econom activ financi corpor client research develop machin learn system extract inform larg volum structur unstructur text posit report chief product offic respons conduct research world interest altern datasetsplan develop appli cut edg machin learn system statist model extract insight vast amount data scalewrit product readi code analyz structur make accur time predictionsdesign system monitor result model product discov address anomali ensur robust reliabl modelslead project start finish collabor park senior manag product manag engin extern data partner clientsrequir bachelor degre higher comput scienc mathemat statist linguist physic comput financ similar quantit field year relev profession experi data sciencestrong knowledg machin learn comput scienc mathemat statisticsstrong program skill python scalaexperi numpi scipi panda scikit learn tensorflow kera pytorch also acceptableexperi build distribut machin learn system use apach spark work knowledg mllibexperi sever follow concept decis tree random forest gradient boost linear regress logist regress linear non linear dimension reduct use pca kernel method dictionari learn cluster mean hierarch cluster dbscan autoencod gener model sequenti data modelingresult driven attitud strong desir build data platform enabl park data insight across massiv divers set datafearless pursuit process improv implement changeflex willing adapt chang demand fast pace startup environmentsolut orient approach multi dimension problem solvinghighli self motiv result orient proven track record exceed goalscommit success willing put forth effort achiev itstrong written verbal english commun skill,3.8,"New York, NY",51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,89.0,153.0,121.0, NY,8
Rapid Response Monitoring,Data Scientist,usfound syracus critic respons center focus save live protect home busi whether fire famili home arm intrud busi miss vehicl even jogger lone famili member medic emerg hero help everi day support team expert respect field highli train specialist backbon thousand alarm compani across countri role summaryrapid respons seek discern critic think data scientist spearhead busi intellig function role collabor across organ use experi data scienc busi intellig analyz exist data build dashboard report present enabl data driven decis make across organ responsibilitiescollect consult best way warehous myriad dataset across organ use sql databasestransl busi requir technic requirementschampion lead develop cross organiz dashboardseduc execut leadership model output improv understand data scienc appli result busi decisionslead multipl project serv project manag identifi issu prioriti goalsnavig ambigu identifi tackl strateg opportun problem fulli defin dataappli rang data scienc techniqu tool solv difficult busi problemsbas qualif year work experi appli vari data scienc methodolog year work experi data mine advanc analyt statist year project experi use python rmaster degre data scienc math analyticsexpert level sql structur queri languageprofici microsoft sql serverresearch depth analysi report skillspref qualif year work experi manag data analyt projects distil larg dataset understand informationknowledg advanc statist techniqu concept regress properti distribut statist test proper usag etc experi applicationsexperi use lead busi intellig toolsrapid respons monitor servic inc affirm action equal opportun employ qualifi applic receiv consider employ without regard race color religion sex disabl age sexual orient gender ident nation origin veteran statu genet inform rapid respons monitor servic inc commit provid access equal opportun reason accommod individu disabl employ servic program activ request reason accommod contact us phone email disabilityaccommod rrm com technic support question regard recruit process pleas contact send mail job rrm com compani particip verifi inform see http www verifi gov verifi verifyindcamp,4.7,"Syracuse, NY",501 to 1000 employees,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,"COPS Monitoring, National Monitoring Center, Affiliated Monitoring",61.0,110.0,85.5, NY,28
Trilogy Ed,"Data Scientist, Rice University",trilog educ partner univers offer program web develop data analyt ux ui design cybersecur fintech platform combin market driven curriculum robust career servic multin commun univers instructor employ prepar adult learner career digit economi program exist sinc sinc launch addit class across nation hire instructor teach assist support student job look experienc financi engin python machin learn engin financ experi similar background teach part time fintech class rice univers instructor essenti piec student experi us must bring posit attitud abl infus empathi support encourag fun classroom instructor need abil deliv lesson plan taught across countri time share profession experi industri insight student financi technolog program parallel economi form upend financi system giant intern firm tini startup financi technolog start allow whole new set player access financi data enabl whole new gener financi product servic teach us passion educ make impact love empow other find life chang opportun love hear bring knowledg strong commun posit energi classroom go help student along transform path success reward career prior teach experi prerequisit success instructor teach assist within trilog provid guidanc train lesson plan tool support journey impact live classroom lead lectur share person experi industri professionalfacilit hand lab environ student gain real world knowledgecoach student code activ class projectsdistribut class materi record lectur set student successensur posit learn environ student infus empathi support dobe classroom manag confirm student engag learn everi turnmak sure student receiv time feedback grade assign teach assist experi willing learn follow technolog requir python python librari panda matplotlib numpi moresql nosql databasesdeploy machin learn model includ use sklearn tensorflow statsmodelswhat make great fit requir bachelor degreeminimum year work experiencea posit attitud deliv lesson plan taught classroom across countri student bodyopen share profession experi industri insight students support student individu go emot roller coasterb abl infus empathi support encourag fun student experiencelogist week programmon wed sat tue thu sat scheduleweekday class pm pm includ offic hour break saturday class pm includ offic hour lunch break,4.3,"New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Kaplan University, Ironhack",65.0,110.0,87.5, TX,5
Gallup,Senior Data Scientist,want commit use talent research advanc analyt give global organ critic advic leader appli instinct expertis discov breakthrough key client growth driven profession manag multipl project set standard excel follow commit except result instinct connect other understand individu need share passion analyt achiev share goal excel build predict model use variou data sourc techniqu inform practic busi decis gallup senior data scientist help client effect use data make better decis appli knowledg variou statist machin learn techniqu lead wide varieti challeng project design custom client build autom solut complic problem client face everi day partner client team increas gallup global impact help explain predict larg scale social behavior consum spend lifestyl trend polit stabil elect outcom employe perform retent use data gallup web third parti govern igo ngo client mentor develop data scientist help grow technic consult skill set short senior leader help continu develop data scienc gallup gallup uniqu data give unparallel opportun use creativ explor new avenu social research georg gallup legaci found establish gallup gold standard survey research methodolog need ph requir degre statist engin mathemat comput scienc comput social scienc physic oper research program prefer previou current top secret govern clearanc requiredat least year work experi includ year spent earn advanc degre expert level product code python preferredmasteri conduct analysi python requir addit analyt softwar experi plusat least four year experi build product level machin learn predict analyt system data pipelin requireda deep understand mathemat fundament machin learn statist emphasi nonparametr nonlinear method random forest support vector machin neural network natur languag process requiredat least one year experi work within distribut system manag workflow cloud infrastructur requiredmust current author work unit state full time basisgallup equal opportun affirm action employ celebr support promot divers inclus consid qualifi applic without regard race color religion sex nation origin disabl protect veteran statu sexual orient gender ident legal protect basi accord applic law,4.2,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",200.0,275.0,237.5, DC,85
CapTech,Data Engineer,compani descriptioncaptech team master builder creator problem solver help client grow effici success busi unit divers skill perspect transform data system ingenu enabl client advanc possibl chang world percept partner base consult find inspir unknown enjoy get hand dirti solv client myriad challeng across industri busi goal fuse technic depth analyt prowess creativ savvi move client forward drive help organ use technolog manag insight turn idea action togeth creat outcom exceed expect one reason inc list decad job descriptionth data engin analyt role fall data manag busi intellig practic area captech consult provid broad spectrum servic help client defin implement strategi deliv last mission critic inform capabl data integr consult bridg gap busi side compani partner client fulli understand busi philosophi strategi captech consult maintain vision data integr built help organ make better decis provid right data right time specif respons data engin analyt posit includ design develop document test advanc data system bring togeth data dispar sourc make avail data scientist analyst user use script program languag python java etc evalu structur unstructur dataset util statist data mine predict analyt gain addit busi insightsdesign develop implement data process pipelin scalepres program document design team member convey complex inform clear concis manner extract data multipl sourc integr dispar data common data model integr data target databas applic file use effici program process write refin code ensur perform reliabl data extract process commun level stakehold appropri includ execut data model applic develop busi user customersparticip requir gather session busi technic staff distil technic requir busi request partner client fulli understand busi philosophi strategi recommend process improv increas effici reliabl etl develop collabor qualiti assur resourc debug code ensur time deliveri product technolog might includ hdf cassandra spark java scala informatica sql server oracl ab initio kafka qualificationsspecif qualif data engin analyt posit includ year develop experi build etl graph use ab initio gde eme co oper system preferredstrong sql develop skillsdevelop experi python preferreddevelop experi unix tool shell scriptsdevelop experi least two differ databas platform teradata oracl mysql ms sql etc minimum year experi design develop test softwar align defin requirementsexperi tune sql queri ensur perform reliabilitysoftwar engin best practic includ version control git tf jira etc test driven developmentexposur busi intellig tool busi object informatica ssr cogno microstrategi tableau qlikview spotfir etc addit informationw offer challeng impact job profession career path captech keep hand technolog matter posit hold employe find work excit reward cultur fill opportun fun along way captech offer competit comprehens benefit packag includ limit competit salari perform base bonu opportunitiessingl famili health insur plan includ dental coverageshort term long term disabilitymatch competit paid time offtrain certif opportun elig expens reimbursementteam build social activitiesmentor program help develop careerat time captech transfer sponsor work visa posit applic must author work directli employ unit state without visa sponsorship candid must elig work employ directli open contract corp corp agreement captech equal opportun employ captech drug free work place candid must abil work captech client locat posit includ possibl travel captech contract contract outsid vendor recruit process interest posit pleas appli captech directli,3.9,"Richmond, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Accenture, North Highland, Deloitte",68.0,123.0,95.5, NC,23
American Axle ,Senior Data Scientist,aam power move world aam look associ push boundari drive solut futur innov thinker dreamer doer matter role function everi associ piec make aam great grow build teamaam best join us job post titlesenior data scientistjob descript summaryw look senior data scientist help us discov inform hidden vast amount data help us support busi primari focu appli data mine statist techniqu creat pattern predict ensur valid data use statist languag develop launch descript predict prescript analysi work close busi understand busi need job descriptionperform oper support work major project respons deliver data mine use state art methodsstrong skill critic thinkingexpert aw servic compon emr ec lambda kafka green grass process cleans verifi integr data use analysisdo ad hoc analysi present result clear mannerexperi iot solutionsenhanc data collect procedur includ inform relev build analyt systemsmast python sql languagesextens experi write algorithm statist model predict model creation use pythondata visual use ms power bi shinyexpert classif regress cluster anomali detect decis tree naïv bay support vector machineswork busi user conduct user accept test duti assign requir skill educationbachelor degre comput scienc statist mathemat year relev experiencepython program shinyexpert creat modifi statist data modelsexpert data scienc experi creat statist algorithm like random forest logist regress naïv bay svm etc big data ecosystem impala spark hive sqoop etc expert microsoft power bi dashboard reportsexpert creat statist model real time machin learn sql expertgood understand etl systemsexpert data scienc experi creat statist algorithm like random forest logist regress naïv bay svm etc big data ecosystem impala spark hive sqoop etc expert microsoft power bi dashboard reportsexpert creat statist model real time machin learn sql expertabout american axl manufacturingfor year custom around world entrust aam design engin valid manufactur drivelin metal form powertrain cast technolog automot commerci industri market today premier global tier automot supplier broad capabl across multipl product line deliv effici power innov solut custom weve earn trust supplier custom steadfast commit qualiti oper excel technolog leadership aam deliv power deliv power liter vehicl compon system innov also deliv power way unseen power associ famili commun oper global team associ clear vision aam go go get reason leader automot industri power futur aam move us join teamaam aam discrimin associ applic employ age race color gender religion weight height marit statu sexual orient genet histori inform gender ident express disabl protect veteran statu nation origin characterist protect law aam take affirm action ensur applic employ associ treat equal employ without regard age race color gender religion weight height marit statu sexual orient genet histori inform gender ident express disabl protect veteran statu nation origin characterist protect law disabl job seeker offer reason accommod qualifi disabl individu applic employ request assist accommod pleas mail aamhr aam com aam equal opportun affirm action employ,3.3,"Detroit, MI",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,80.0,129.0,104.5, MI,26
CentralReach,Financial Data Analyst,centralreach lead provid end end practic manag clinic solut enabl appli behavior analysi aba clinician educ produc superior outcom peopl autism compani revolution aba space cut edg solut includ precis teach clinic data collect schedul bill learn manag fulli digit evid base program trust clinician educ centralreach commit ongo product improv market lead industri expertis world class client satisfact support aba commun propel industri practition new era excel look financi analyst join financ team report directli fp manag ideal candid self starter desir complet recur ad hoc task minim supervis financi analyst key financi posit support fast grow saa busi includ associ revenu cycl manag busi initi respons focu provid detail financi oper report enhanc creat key perform indic kpi posit report fp manag work close member financ busi oper team well cross function area busi engin product manag sale client oper market assist develop track saa relev busi metric help drive busi successdevelop maintain financi model templat dashboard track organ report initi key project work close region team drive standard reportingprepar report materi presentationsperform ongo varianc trend analysi among actual budget forecast targetsassist depth period custom analysi includ book net expans churn retentionparticip activ design creation manag high impact financi modelsensur line report reconcil exist system base manag reportingassist prepar detail budget forecast includ cash flow balanc sheet project monthli quarterli annual basissupport process improv initiativesprovid ad hoc analysi neededwhat need bachelor degre requir concentr account financ strongli prefer year experi fp role prefer saa cloud industri experi altern invest bank analyst experienceexperi work bi tool access differ data sourc erp enterpris data warehous sql data visual system tableau sisens busi support system salesforc netsuit name experi build dashboard preferredexcept skill ms excel powerpoint must abil comfort use pivot tabl macro import manipul dataprofici financi system databas strong abil data mine analyticshigh attent detail excel analyt research skillsstrong financ acumen financi analysi skill includ detail orient profici build use complic data sourcesproven abil work larg amount data differ sourc provid meaning insightsa highli motiv proactiv collabor work ethic abil independ move project forwardposit upbeat person work dynam environ level manag function proactiv anticip resolv potenti issuesmultitask skill act sens urgenc abil work pressur meet deadlinescentralreach develop clinician clinician stori centralreach begin aba clinic base pompano beach florida compani founder practic board certifi behavior analyst drown manual manag clinic schedul staff file claim report clinic data decid better way manag oper could spend time matter work client patient help aba practic focu best centralreach launch first iter ehr practic manag platform today leadership chri sullen award win ceo technolog space centralreach commit mission provid cut edg technolog servic help clinician educ produc superior client patient outcom alreadi market leader centralreach expect grow exponenti four core tenet hire develop great peopl build industri lead product provid except servic custom continu invest system process infrastructur valu employe offer robust benefit packag includ health dental paid time life insur disabl coverag match also provid comprehens onboard ongo train mentor career path help develop career pride fun energet environ also provid employe meaning way make differ help clinician produc superior outcom children adult disabl,4.7,"Pompano Beach, FL",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"DataFinch Technologies, Accupoint Software Solution, CodeMetro",41.0,72.0,56.5, NJ,8
Integrate,Senior Data Analyst,integr rapidli grow ventur back enterpris saa busi help market grow revenu reduc cost unifi demand market channel singl power platform help organ achiev quantifi busi outcom top tier client list includ dell cisco salesforc vmware rackspac microsoft name defin purpos believ better effici world market quick hit year old employe fund enterpris market technologyth senior data warehous analyst essenti drive data integr accuraci complet valu busi inform role creation data measur associ dimension attribut distribut stakehold addit role help defin enterpris data distribut definit ensur stakehold understand use data specif purpos develop strong partnership stakehold gather understand defin data report requir includ develop multipl iter arriv best solut meet current futur needscollabor system busi owner understand defin underli data mean associ busi system processescr ssa memori databas visual studio along associ measur definit relationship reprocess routinesb custodian enterpris data definit document distribut continu improv overal use data terminologymanag enhanc project list establish roadmap meet critic deadlin essenti businessdevelop power bi excel solut provid answer busi leadership questionsconsist research learn new abil power bi ecosystem enhanc current futur solut developmentwhat offer year experi work microsoft sql server analysi servic power biunderstand use data warehous obtain data power bi excel solut analysi servicesstrong experi visual studio develop analysi servic solut deploy ssa model azuredata gather report analyt think skillsabl work independ within team environmentdr desir learn grow quickli pace microsoft product improvementsstrong interperson skillsintegr news integr name top tech startup phoenixintegr acquir akkroointegr acquir listenloopwhi four martech ceo bet big integratetyp offic environ requir extens sit period stand walk may requir lift pound unassist may requir lift pound use assist devic team lift requir signific use person comput phone gener offic equip need adequ visual acuiti abil grasp handl object need abil commun effect read write speak person telephon,4.3,"Phoenix, AZ",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,39.0,71.0,55.0, AZ,10
